##Volume:	872.664626
#bin	r	gr
0 	 0.050000 	 0.000000
1 	 0.150000 	 0.000000
2 	 0.250000 	 0.000000
3 	 0.350000 	 0.000000
4 	 0.450000 	 0.000000
5 	 0.550000 	 0.000000
6 	 0.650000 	 0.000000
7 	 0.750000 	 0.000000
8 	 0.850000 	 0.000000
9 	 0.950000 	 0.000000
10 	 1.050000 	 2.156647
11 	 1.150000 	 1.669328
12 	 1.250000 	 1.345366
13 	 1.350000 	 1.124899
14 	 1.450000 	 0.984120
15 	 1.550000 	 0.903366
16 	 1.650000 	 0.863900
17 	 1.750000 	 0.868179
18 	 1.850000 	 0.903771
19 	 1.950000 	 0.970821
20 	 2.050000 	 1.038028
21 	 2.150000 	 1.061351
22 	 2.250000 	 1.055504
23 	 2.350000 	 1.031660
24 	 2.450000 	 1.008460
25 	 2.550000 	 0.991102
26 	 2.650000 	 0.980426
27 	 2.750000 	 0.978763
28 	 2.850000 	 0.984943
29 	 2.950000 	 0.994659
30 	 3.050000 	 1.001364
31 	 3.150000 	 1.005681
32 	 3.250000 	 1.009534
33 	 3.350000 	 1.006473
34 	 3.450000 	 1.003305
35 	 3.550000 	 0.999445
36 	 3.650000 	 0.995985
37 	 3.750000 	 0.996189
38 	 3.850000 	 0.997115
39 	 3.950000 	 0.998803
40 	 4.050000 	 0.999373
41 	 4.150000 	 1.001701
42 	 4.250000 	 1.001425
43 	 4.350000 	 1.000996
44 	 4.450000 	 0.999836
45 	 4.550000 	 1.000771
46 	 4.650000 	 0.999183
47 	 4.750000 	 0.997355
48 	 4.850000 	 0.954277
49 	 4.950000 	 0.895888
50 	 5.050000 	 0.838495
51 	 5.150000 	 0.782411
52 	 5.250000 	 0.730924
53 	 5.350000 	 0.678742
54 	 5.450000 	 0.629876
55 	 5.550000 	 0.582911
56 	 5.650000 	 0.537039
57 	 5.750000 	 0.492926
58 	 5.850000 	 0.449841
59 	 5.950000 	 0.408887
60 	 6.050000 	 0.368794
61 	 6.150000 	 0.330703
62 	 6.250000 	 0.293768
63 	 6.350000 	 0.257171
64 	 6.450000 	 0.222295
65 	 6.550000 	 0.188309
66 	 6.650000 	 0.155235
67 	 6.750000 	 0.123767
68 	 6.850000 	 0.098579
69 	 6.950000 	 0.078922
70 	 7.050000 	 0.063345
71 	 7.150000 	 0.050465
72 	 7.250000 	 0.039569
73 	 7.350000 	 0.030611
74 	 7.450000 	 0.023243
75 	 7.550000 	 0.017163
76 	 7.650000 	 0.012148
77 	 7.750000 	 0.008191
78 	 7.850000 	 0.005249
79 	 7.950000 	 0.002907
80 	 8.050000 	 0.001339
81 	 8.150000 	 0.000421
82 	 8.250000 	 0.000039
