##Volume:	1047.197551
#bin	r	gr
0 	 0.050000 	 0.000000
1 	 0.150000 	 0.000000
2 	 0.250000 	 0.000000
3 	 0.350000 	 0.000000
4 	 0.450000 	 0.000000
5 	 0.550000 	 0.000000
6 	 0.650000 	 0.000000
7 	 0.750000 	 0.000000
8 	 0.850000 	 0.000000
9 	 0.950000 	 0.000000
10 	 1.050000 	 1.878224
11 	 1.150000 	 1.553673
12 	 1.250000 	 1.328938
13 	 1.350000 	 1.153960
14 	 1.450000 	 1.035664
15 	 1.550000 	 0.959800
16 	 1.650000 	 0.917420
17 	 1.750000 	 0.902616
18 	 1.850000 	 0.916269
19 	 1.950000 	 0.957146
20 	 2.050000 	 1.005554
21 	 2.150000 	 1.028222
22 	 2.250000 	 1.034786
23 	 2.350000 	 1.027104
24 	 2.450000 	 1.011140
25 	 2.550000 	 1.003196
26 	 2.650000 	 0.993498
27 	 2.750000 	 0.988562
28 	 2.850000 	 0.992322
29 	 2.950000 	 0.993693
30 	 3.050000 	 0.996695
31 	 3.150000 	 0.999575
32 	 3.250000 	 1.001752
33 	 3.350000 	 1.004662
34 	 3.450000 	 1.002901
35 	 3.550000 	 1.001263
36 	 3.650000 	 1.001850
37 	 3.750000 	 0.997584
38 	 3.850000 	 0.997916
39 	 3.950000 	 0.998092
40 	 4.050000 	 1.000884
41 	 4.150000 	 0.998881
42 	 4.250000 	 1.000698
43 	 4.350000 	 0.998666
44 	 4.450000 	 1.000315
45 	 4.550000 	 0.999377
46 	 4.650000 	 0.999646
47 	 4.750000 	 0.998894
48 	 4.850000 	 1.000273
49 	 4.950000 	 1.000331
50 	 5.050000 	 0.997574
51 	 5.150000 	 0.958055
52 	 5.250000 	 0.900698
53 	 5.350000 	 0.846148
54 	 5.450000 	 0.795208
55 	 5.550000 	 0.743415
56 	 5.650000 	 0.696288
57 	 5.750000 	 0.648803
58 	 5.850000 	 0.604065
59 	 5.950000 	 0.559627
60 	 6.050000 	 0.518119
61 	 6.150000 	 0.476388
62 	 6.250000 	 0.436855
63 	 6.350000 	 0.398636
64 	 6.450000 	 0.361801
65 	 6.550000 	 0.325434
66 	 6.650000 	 0.290157
67 	 6.750000 	 0.256257
68 	 6.850000 	 0.223581
69 	 6.950000 	 0.191860
70 	 7.050000 	 0.160619
71 	 7.150000 	 0.130137
72 	 7.250000 	 0.104773
73 	 7.350000 	 0.084914
74 	 7.450000 	 0.069149
75 	 7.550000 	 0.055880
76 	 7.650000 	 0.044880
77 	 7.750000 	 0.035434
78 	 7.850000 	 0.027691
79 	 7.950000 	 0.021196
80 	 8.050000 	 0.015743
81 	 8.150000 	 0.011325
82 	 8.250000 	 0.007767
83 	 8.350000 	 0.004979
84 	 8.450000 	 0.002873
85 	 8.550000 	 0.001399
86 	 8.650000 	 0.000493
87 	 8.750000 	 0.000061
