##Volume:	654.498469
#bin	r	gr
0 	 0.050000 	 0.000000
1 	 0.150000 	 0.000000
2 	 0.250000 	 0.000000
3 	 0.350000 	 0.000000
4 	 0.450000 	 0.000000
5 	 0.550000 	 0.000000
6 	 0.650000 	 0.000000
7 	 0.750000 	 0.000000
8 	 0.850000 	 0.000000
9 	 0.950000 	 0.000000
10 	 1.050000 	 2.892840
11 	 1.150000 	 1.844162
12 	 1.250000 	 1.282223
13 	 1.350000 	 0.971170
14 	 1.450000 	 0.808308
15 	 1.550000 	 0.742781
16 	 1.650000 	 0.751585
17 	 1.750000 	 0.823368
18 	 1.850000 	 0.946217
19 	 1.950000 	 1.080530
20 	 2.050000 	 1.177171
21 	 2.150000 	 1.146581
22 	 2.250000 	 1.064515
23 	 2.350000 	 0.989410
24 	 2.450000 	 0.941585
25 	 2.550000 	 0.925993
26 	 2.650000 	 0.937714
27 	 2.750000 	 0.969120
28 	 2.850000 	 1.005809
29 	 2.950000 	 1.032995
30 	 3.050000 	 1.041475
31 	 3.150000 	 1.031422
32 	 3.250000 	 1.012287
33 	 3.350000 	 0.992479
34 	 3.450000 	 0.981178
35 	 3.550000 	 0.978823
36 	 3.650000 	 0.983860
37 	 3.750000 	 0.993332
38 	 3.850000 	 1.005766
39 	 3.950000 	 1.011474
40 	 4.050000 	 1.012264
41 	 4.150000 	 1.007957
42 	 4.250000 	 1.000605
43 	 4.350000 	 0.984585
44 	 4.450000 	 0.920461
45 	 4.550000 	 0.856918
46 	 4.650000 	 0.797907
47 	 4.750000 	 0.741383
48 	 4.850000 	 0.686398
49 	 4.950000 	 0.633142
50 	 5.050000 	 0.580517
51 	 5.150000 	 0.529815
52 	 5.250000 	 0.480352
53 	 5.350000 	 0.433230
54 	 5.450000 	 0.388934
55 	 5.550000 	 0.345744
56 	 5.650000 	 0.305290
57 	 5.750000 	 0.264761
58 	 5.850000 	 0.226478
59 	 5.950000 	 0.189101
60 	 6.050000 	 0.152541
61 	 6.150000 	 0.118238
62 	 6.250000 	 0.092440
63 	 6.350000 	 0.072639
64 	 6.450000 	 0.056676
65 	 6.550000 	 0.043772
66 	 6.650000 	 0.033173
67 	 6.750000 	 0.024571
68 	 6.850000 	 0.017676
69 	 6.950000 	 0.012182
70 	 7.050000 	 0.007905
71 	 7.150000 	 0.004718
72 	 7.250000 	 0.002414
73 	 7.350000 	 0.000930
74 	 7.450000 	 0.000164
75 	 7.550000 	 0.000001
