##Volume:	5235.987756
#bin	r	gr
0 	 0.050000 	 0.000000
1 	 0.150000 	 0.000000
2 	 0.250000 	 0.000000
3 	 0.350000 	 0.000000
4 	 0.450000 	 0.000000
5 	 0.550000 	 0.000000
6 	 0.650000 	 0.000000
7 	 0.750000 	 0.000000
8 	 0.850000 	 0.000000
9 	 0.950000 	 0.000000
10 	 1.050000 	 1.114381
11 	 1.150000 	 1.099698
12 	 1.250000 	 1.066055
13 	 1.350000 	 1.049543
14 	 1.450000 	 1.033249
15 	 1.550000 	 1.021415
16 	 1.650000 	 1.012240
17 	 1.750000 	 1.014407
18 	 1.850000 	 0.993184
19 	 1.950000 	 0.991954
20 	 2.050000 	 0.989516
21 	 2.150000 	 1.000894
22 	 2.250000 	 0.991613
23 	 2.350000 	 0.993820
24 	 2.450000 	 0.998434
25 	 2.550000 	 1.000953
26 	 2.650000 	 1.000503
27 	 2.750000 	 0.993706
28 	 2.850000 	 0.995962
29 	 2.950000 	 0.999831
30 	 3.050000 	 0.996102
31 	 3.150000 	 1.000376
32 	 3.250000 	 0.995589
33 	 3.350000 	 1.001568
34 	 3.450000 	 0.998555
35 	 3.550000 	 0.999476
36 	 3.650000 	 1.000636
37 	 3.750000 	 0.999028
38 	 3.850000 	 1.000234
39 	 3.950000 	 0.997560
40 	 4.050000 	 0.999049
41 	 4.150000 	 0.996334
42 	 4.250000 	 0.997889
43 	 4.350000 	 0.998619
44 	 4.450000 	 1.000572
45 	 4.550000 	 0.994680
46 	 4.650000 	 1.000771
47 	 4.750000 	 0.999837
48 	 4.850000 	 0.998657
49 	 4.950000 	 0.996452
50 	 5.050000 	 0.995703
51 	 5.150000 	 0.997104
52 	 5.250000 	 0.997235
53 	 5.350000 	 0.998575
54 	 5.450000 	 1.000981
55 	 5.550000 	 1.000833
56 	 5.650000 	 1.000230
57 	 5.750000 	 1.000510
58 	 5.850000 	 0.996630
59 	 5.950000 	 0.997405
60 	 6.050000 	 0.998146
61 	 6.150000 	 0.999161
62 	 6.250000 	 0.998556
63 	 6.350000 	 0.997889
64 	 6.450000 	 0.999673
65 	 6.550000 	 0.999005
66 	 6.650000 	 0.996361
67 	 6.750000 	 0.999072
68 	 6.850000 	 0.998064
69 	 6.950000 	 0.999227
70 	 7.050000 	 0.999544
71 	 7.150000 	 0.997556
72 	 7.250000 	 0.995901
73 	 7.350000 	 0.998866
74 	 7.450000 	 1.001196
75 	 7.550000 	 1.000068
76 	 7.650000 	 0.999880
77 	 7.750000 	 0.998995
78 	 7.850000 	 0.999548
79 	 7.950000 	 0.998234
80 	 8.050000 	 0.998483
81 	 8.150000 	 0.996170
82 	 8.250000 	 0.997467
83 	 8.350000 	 0.999679
84 	 8.450000 	 0.997831
85 	 8.550000 	 0.997984
86 	 8.650000 	 0.997220
87 	 8.750000 	 0.977212
88 	 8.850000 	 0.943063
89 	 8.950000 	 0.909267
90 	 9.050000 	 0.877954
91 	 9.150000 	 0.845023
92 	 9.250000 	 0.814935
93 	 9.350000 	 0.785500
94 	 9.450000 	 0.755484
95 	 9.550000 	 0.726416
96 	 9.650000 	 0.699089
97 	 9.750000 	 0.670234
98 	 9.850000 	 0.642231
99 	 9.950000 	 0.617263
100 	 10.050000 	 0.590475
101 	 10.150000 	 0.565346
102 	 10.250000 	 0.540994
103 	 10.350000 	 0.515995
104 	 10.450000 	 0.491617
105 	 10.550000 	 0.468127
106 	 10.650000 	 0.444756
107 	 10.750000 	 0.422999
108 	 10.850000 	 0.400719
109 	 10.950000 	 0.377037
110 	 11.050000 	 0.356164
111 	 11.150000 	 0.335865
112 	 11.250000 	 0.315097
113 	 11.350000 	 0.294610
114 	 11.450000 	 0.274255
115 	 11.550000 	 0.254819
116 	 11.650000 	 0.235505
117 	 11.750000 	 0.216656
118 	 11.850000 	 0.197706
119 	 11.950000 	 0.179472
120 	 12.050000 	 0.161206
121 	 12.150000 	 0.143553
122 	 12.250000 	 0.126663
123 	 12.350000 	 0.110359
124 	 12.450000 	 0.098001
125 	 12.550000 	 0.086809
126 	 12.650000 	 0.076764
127 	 12.750000 	 0.068012
128 	 12.850000 	 0.060311
129 	 12.950000 	 0.052945
130 	 13.050000 	 0.046429
131 	 13.150000 	 0.041012
132 	 13.250000 	 0.035512
133 	 13.350000 	 0.030736
134 	 13.450000 	 0.026499
135 	 13.550000 	 0.022734
136 	 13.650000 	 0.019372
137 	 13.750000 	 0.016215
138 	 13.850000 	 0.013441
139 	 13.950000 	 0.010984
140 	 14.050000 	 0.008818
141 	 14.150000 	 0.006901
142 	 14.250000 	 0.005345
143 	 14.350000 	 0.004063
144 	 14.450000 	 0.002834
145 	 14.550000 	 0.001946
146 	 14.650000 	 0.001244
147 	 14.750000 	 0.000669
148 	 14.850000 	 0.000275
149 	 14.950000 	 0.000062
150 	 15.050000 	 0.000002
