#Step 	 Volume 	 Move-acceptance	 Volume-acceptance
90000 	 402.701868 	 0.624480 	 0.480000
90100 	 402.690033 	 0.622820 	 0.530000
90200 	 402.505623 	 0.630860 	 0.500000
90300 	 402.427517 	 0.612420 	 0.500000
90400 	 402.289855 	 0.615420 	 0.590000
90500 	 402.163060 	 0.610060 	 0.470000
90600 	 401.979208 	 0.612880 	 0.540000
90700 	 401.947788 	 0.616080 	 0.510000
90800 	 401.935481 	 0.613320 	 0.410000
90900 	 401.921811 	 0.608320 	 0.520000
91000 	 401.571888 	 0.621320 	 0.500000
91100 	 401.635258 	 0.617340 	 0.500000
91200 	 401.462203 	 0.621200 	 0.530000
91300 	 401.535092 	 0.608880 	 0.540000
91400 	 401.394280 	 0.610200 	 0.530000
91500 	 401.715950 	 0.609780 	 0.600000
91600 	 401.647443 	 0.616720 	 0.540000
91700 	 401.503344 	 0.610680 	 0.490000
91800 	 401.338158 	 0.614620 	 0.500000
91900 	 401.320427 	 0.616040 	 0.460000
92000 	 401.388133 	 0.609520 	 0.480000
92100 	 401.153966 	 0.601740 	 0.560000
92200 	 401.079343 	 0.608900 	 0.560000
92300 	 401.005332 	 0.609920 	 0.490000
92400 	 401.071671 	 0.607560 	 0.520000
92500 	 400.909712 	 0.619700 	 0.510000
92600 	 401.031364 	 0.614480 	 0.620000
92700 	 401.012640 	 0.611260 	 0.540000
92800 	 401.088236 	 0.610340 	 0.570000
92900 	 401.060326 	 0.609020 	 0.430000
93000 	 401.196327 	 0.611020 	 0.480000
93100 	 401.011289 	 0.617720 	 0.490000
93200 	 400.911631 	 0.617100 	 0.510000
93300 	 401.103807 	 0.597360 	 0.450000
93400 	 401.136550 	 0.605740 	 0.510000
93500 	 401.002357 	 0.617440 	 0.490000
93600 	 401.278841 	 0.601500 	 0.450000
93700 	 401.687819 	 0.615480 	 0.490000
93800 	 401.322212 	 0.615320 	 0.570000
93900 	 401.436500 	 0.621360 	 0.510000
94000 	 401.137136 	 0.618540 	 0.500000
94100 	 401.039736 	 0.606280 	 0.580000
94200 	 401.073083 	 0.613240 	 0.460000
94300 	 400.961777 	 0.617940 	 0.510000
94400 	 400.877387 	 0.619040 	 0.500000
94500 	 400.758744 	 0.605020 	 0.420000
94600 	 400.674279 	 0.611080 	 0.470000
94700 	 400.738526 	 0.613240 	 0.490000
94800 	 401.119848 	 0.614220 	 0.530000
94900 	 401.092816 	 0.617600 	 0.450000
95000 	 401.298344 	 0.616400 	 0.560000
95100 	 401.097500 	 0.605080 	 0.410000
95200 	 401.071039 	 0.607600 	 0.510000
95300 	 400.996735 	 0.616960 	 0.610000
95400 	 400.978433 	 0.615920 	 0.510000
95500 	 401.111865 	 0.607540 	 0.560000
95600 	 401.423580 	 0.602940 	 0.640000
95700 	 401.450200 	 0.601900 	 0.510000
95800 	 401.479652 	 0.618820 	 0.490000
95900 	 401.424419 	 0.610860 	 0.590000
96000 	 401.334248 	 0.614180 	 0.480000
96100 	 401.449607 	 0.614460 	 0.510000
96200 	 401.489777 	 0.615680 	 0.510000
96300 	 401.230344 	 0.617920 	 0.460000
96400 	 401.190722 	 0.611100 	 0.470000
96500 	 401.118062 	 0.619000 	 0.590000
96600 	 401.149928 	 0.623000 	 0.600000
96700 	 401.261737 	 0.613780 	 0.440000
96800 	 401.282209 	 0.607280 	 0.560000
96900 	 401.087102 	 0.603980 	 0.550000
97000 	 401.126672 	 0.608440 	 0.500000
97100 	 401.253191 	 0.608440 	 0.550000
97200 	 401.260169 	 0.607860 	 0.510000
97300 	 401.254378 	 0.607180 	 0.480000
97400 	 401.515892 	 0.616440 	 0.480000
97500 	 401.617336 	 0.621200 	 0.420000
97600 	 401.337072 	 0.607380 	 0.540000
97700 	 401.525893 	 0.604260 	 0.580000
97800 	 401.470314 	 0.620720 	 0.460000
97900 	 401.636387 	 0.615900 	 0.450000
98000 	 401.717621 	 0.611700 	 0.580000
98100 	 401.939441 	 0.614080 	 0.460000
98200 	 401.722633 	 0.609780 	 0.490000
98300 	 402.005120 	 0.615120 	 0.540000
98400 	 401.780490 	 0.615000 	 0.530000
98500 	 401.748693 	 0.611980 	 0.500000
98600 	 401.835337 	 0.622640 	 0.520000
98700 	 401.778683 	 0.629760 	 0.520000
98800 	 401.803010 	 0.618020 	 0.560000
98900 	 401.691043 	 0.604960 	 0.440000
99000 	 401.751235 	 0.615080 	 0.500000
99100 	 401.657186 	 0.615880 	 0.470000
