##Volume:	2617.993878
#bin	r	gr
0 	 0.050000 	 0.000000
1 	 0.150000 	 0.000000
2 	 0.250000 	 0.000000
3 	 0.350000 	 0.000000
4 	 0.450000 	 0.000000
5 	 0.550000 	 0.000000
6 	 0.650000 	 0.000000
7 	 0.750000 	 0.000000
8 	 0.850000 	 0.000000
9 	 0.950000 	 0.000000
10 	 1.050000 	 1.268943
11 	 1.150000 	 1.202519
12 	 1.250000 	 1.143412
13 	 1.350000 	 1.098154
14 	 1.450000 	 1.059445
15 	 1.550000 	 1.032261
16 	 1.650000 	 1.006989
17 	 1.750000 	 0.994733
18 	 1.850000 	 0.981831
19 	 1.950000 	 0.985486
20 	 2.050000 	 0.990849
21 	 2.150000 	 0.998443
22 	 2.250000 	 0.996340
23 	 2.350000 	 0.999656
24 	 2.450000 	 1.001188
25 	 2.550000 	 1.001825
26 	 2.650000 	 0.997233
27 	 2.750000 	 1.001860
28 	 2.850000 	 0.997920
29 	 2.950000 	 0.999337
30 	 3.050000 	 1.003221
31 	 3.150000 	 0.998750
32 	 3.250000 	 0.998624
33 	 3.350000 	 0.998340
34 	 3.450000 	 0.999874
35 	 3.550000 	 0.999886
36 	 3.650000 	 0.997788
37 	 3.750000 	 0.997864
38 	 3.850000 	 0.999703
39 	 3.950000 	 0.999383
40 	 4.050000 	 0.997566
41 	 4.150000 	 0.999621
42 	 4.250000 	 0.998950
43 	 4.350000 	 0.998866
44 	 4.450000 	 1.000289
45 	 4.550000 	 0.998702
46 	 4.650000 	 0.999462
47 	 4.750000 	 0.998208
48 	 4.850000 	 0.999158
49 	 4.950000 	 0.999267
50 	 5.050000 	 0.997891
51 	 5.150000 	 0.999850
52 	 5.250000 	 1.000791
53 	 5.350000 	 0.997844
54 	 5.450000 	 0.999374
55 	 5.550000 	 0.998392
56 	 5.650000 	 1.000861
57 	 5.750000 	 0.998478
58 	 5.850000 	 0.998383
59 	 5.950000 	 0.998744
60 	 6.050000 	 0.999490
61 	 6.150000 	 0.999759
62 	 6.250000 	 0.998171
63 	 6.350000 	 1.000813
64 	 6.450000 	 0.999343
65 	 6.550000 	 0.999632
66 	 6.650000 	 0.998425
67 	 6.750000 	 0.998482
68 	 6.850000 	 0.998734
69 	 6.950000 	 0.973161
70 	 7.050000 	 0.932486
71 	 7.150000 	 0.890315
72 	 7.250000 	 0.850741
73 	 7.350000 	 0.811483
74 	 7.450000 	 0.773537
75 	 7.550000 	 0.737427
76 	 7.650000 	 0.701731
77 	 7.750000 	 0.666356
78 	 7.850000 	 0.632958
79 	 7.950000 	 0.600310
80 	 8.050000 	 0.568183
81 	 8.150000 	 0.535881
82 	 8.250000 	 0.505499
83 	 8.350000 	 0.475693
84 	 8.450000 	 0.446052
85 	 8.550000 	 0.417179
86 	 8.650000 	 0.389645
87 	 8.750000 	 0.361960
88 	 8.850000 	 0.335539
89 	 8.950000 	 0.309793
90 	 9.050000 	 0.284732
91 	 9.150000 	 0.259170
92 	 9.250000 	 0.234537
93 	 9.350000 	 0.210962
94 	 9.450000 	 0.187318
95 	 9.550000 	 0.164766
96 	 9.650000 	 0.141949
97 	 9.750000 	 0.120435
98 	 9.850000 	 0.102698
99 	 9.950000 	 0.088277
100 	 10.050000 	 0.075597
101 	 10.150000 	 0.064719
102 	 10.250000 	 0.055814
103 	 10.350000 	 0.047188
104 	 10.450000 	 0.040029
105 	 10.550000 	 0.033637
106 	 10.650000 	 0.028065
107 	 10.750000 	 0.023027
108 	 10.850000 	 0.018628
109 	 10.950000 	 0.014864
110 	 11.050000 	 0.011590
111 	 11.150000 	 0.008808
112 	 11.250000 	 0.006582
113 	 11.350000 	 0.004664
114 	 11.450000 	 0.003130
115 	 11.550000 	 0.001943
116 	 11.650000 	 0.001047
117 	 11.750000 	 0.000430
118 	 11.850000 	 0.000097
119 	 11.950000 	 0.000001
