##Volume:	581.776417
#bin	r	gr
0 	 0.050000 	 0.000000
1 	 0.150000 	 0.000000
2 	 0.250000 	 0.000000
3 	 0.350000 	 0.000000
4 	 0.450000 	 0.000000
5 	 0.550000 	 0.000000
6 	 0.650000 	 0.000000
7 	 0.750000 	 0.000000
8 	 0.850000 	 0.000000
9 	 0.950000 	 0.000000
10 	 1.050000 	 3.367700
11 	 1.150000 	 1.862715
12 	 1.250000 	 1.174774
13 	 1.350000 	 0.842458
14 	 1.450000 	 0.694252
15 	 1.550000 	 0.658900
16 	 1.650000 	 0.708459
17 	 1.750000 	 0.849404
18 	 1.850000 	 1.029912
19 	 1.950000 	 1.176672
20 	 2.050000 	 1.262483
21 	 2.150000 	 1.158425
22 	 2.250000 	 1.021017
23 	 2.350000 	 0.923103
24 	 2.450000 	 0.878113
25 	 2.550000 	 0.887277
26 	 2.650000 	 0.933886
27 	 2.750000 	 1.002591
28 	 2.850000 	 1.054525
29 	 2.950000 	 1.074264
30 	 3.050000 	 1.061836
31 	 3.150000 	 1.025720
32 	 3.250000 	 0.986854
33 	 3.350000 	 0.959281
34 	 3.450000 	 0.955162
35 	 3.550000 	 0.968661
36 	 3.650000 	 0.993391
37 	 3.750000 	 1.015754
38 	 3.850000 	 1.027353
39 	 3.950000 	 1.026562
40 	 4.050000 	 1.013216
41 	 4.150000 	 0.995472
42 	 4.250000 	 0.934255
43 	 4.350000 	 0.862811
44 	 4.450000 	 0.801601
45 	 4.550000 	 0.747973
46 	 4.650000 	 0.696472
47 	 4.750000 	 0.641737
48 	 4.850000 	 0.589057
49 	 4.950000 	 0.533449
50 	 5.050000 	 0.479409
51 	 5.150000 	 0.429477
52 	 5.250000 	 0.382516
53 	 5.350000 	 0.338246
54 	 5.450000 	 0.296517
55 	 5.550000 	 0.256063
56 	 5.650000 	 0.217232
57 	 5.750000 	 0.178745
58 	 5.850000 	 0.141403
59 	 5.950000 	 0.107338
60 	 6.050000 	 0.083318
61 	 6.150000 	 0.064340
62 	 6.250000 	 0.049718
63 	 6.350000 	 0.037628
64 	 6.450000 	 0.028010
65 	 6.550000 	 0.020285
66 	 6.650000 	 0.013954
67 	 6.750000 	 0.009151
68 	 6.850000 	 0.005359
69 	 6.950000 	 0.002805
70 	 7.050000 	 0.001110
71 	 7.150000 	 0.000229
72 	 7.250000 	 0.000002
