#Time 	 PotE 	 KinE 	 TotE 	 kT 	 v0_v
 11.1000 	 -2526.61 	 2585.59 	 58.98 	 1.9951 	 5.966165
 11.1100 	 -2529.13 	 2575.57 	 46.44 	 1.9873 	 5.779269
 11.1200 	 -2546.52 	 2592.70 	 46.18 	 2.0005 	 5.557899
 11.1300 	 -2568.60 	 2604.66 	 36.06 	 2.0098 	 5.234518
 11.1400 	 -2579.52 	 2615.77 	 36.25 	 2.0183 	 4.883276
 11.1500 	 -2579.48 	 2620.08 	 40.60 	 2.0217 	 4.516300
 11.1600 	 -2583.67 	 2626.32 	 42.65 	 2.0265 	 4.111226
 11.1700 	 -2583.58 	 2629.75 	 46.17 	 2.0291 	 3.695344
 11.1800 	 -2570.05 	 2621.12 	 51.07 	 2.0225 	 3.318205
 11.1900 	 -2559.55 	 2611.61 	 52.07 	 2.0151 	 2.968692
 11.2000 	 -2552.42 	 2604.55 	 52.14 	 2.0097 	 2.623025
 11.2100 	 -2549.06 	 2600.93 	 51.86 	 2.0069 	 2.289828
 11.2200 	 -2553.68 	 2606.36 	 52.68 	 2.0111 	 2.040136
 11.2300 	 -2570.35 	 2620.39 	 50.03 	 2.0219 	 1.792101
 11.2400 	 -2578.94 	 2626.59 	 47.66 	 2.0267 	 1.591931
 11.2500 	 -2576.35 	 2628.46 	 52.11 	 2.0281 	 1.393036
 11.2600 	 -2575.39 	 2637.28 	 61.89 	 2.0349 	 1.224320
 11.2700 	 -2570.50 	 2640.87 	 70.37 	 2.0377 	 1.088670
 11.2800 	 -2553.06 	 2622.69 	 69.63 	 2.0237 	 0.983563
 11.2900 	 -2534.16 	 2604.34 	 70.18 	 2.0095 	 0.892917
 11.3000 	 -2532.45 	 2601.91 	 69.46 	 2.0076 	 0.813463
 11.3100 	 -2549.70 	 2606.02 	 56.32 	 2.0108 	 0.755093
 11.3200 	 -2571.37 	 2624.26 	 52.89 	 2.0249 	 0.741654
 11.3300 	 -2593.27 	 2651.75 	 58.48 	 2.0461 	 0.721862
 11.3400 	 -2611.82 	 2684.97 	 73.14 	 2.0717 	 0.723614
 11.3500 	 -2623.92 	 2696.66 	 72.74 	 2.0808 	 0.723587
 11.3600 	 -2631.22 	 2698.14 	 66.92 	 2.0819 	 0.728410
 11.3700 	 -2626.73 	 2690.03 	 63.30 	 2.0756 	 0.712256
 11.3800 	 -2612.13 	 2675.56 	 63.43 	 2.0645 	 0.700817
 11.3900 	 -2594.93 	 2658.30 	 63.36 	 2.0512 	 0.694863
 11.4000 	 -2581.37 	 2645.12 	 63.75 	 2.0410 	 0.681696
 11.4100 	 -2569.11 	 2632.85 	 63.75 	 2.0315 	 0.672110
 11.4200 	 -2550.94 	 2613.98 	 63.04 	 2.0170 	 0.666216
 11.4300 	 -2535.75 	 2601.66 	 65.91 	 2.0075 	 0.668815
 11.4400 	 -2527.20 	 2595.69 	 68.48 	 2.0028 	 0.641330
 11.4500 	 -2523.81 	 2586.58 	 62.77 	 1.9958 	 0.634400
 11.4600 	 -2535.52 	 2602.50 	 66.98 	 2.0081 	 0.607459
 11.4700 	 -2552.13 	 2616.26 	 64.12 	 2.0187 	 0.580791
 11.4800 	 -2557.75 	 2617.86 	 60.12 	 2.0200 	 0.549744
 11.4900 	 -2556.22 	 2618.44 	 62.22 	 2.0204 	 0.522008
 11.5000 	 -2555.10 	 2613.35 	 58.25 	 2.0165 	 0.512289
 11.5100 	 -2558.90 	 2616.00 	 57.11 	 2.0185 	 0.467406
 11.5200 	 -2561.00 	 2607.10 	 46.10 	 2.0117 	 0.402940
 11.5300 	 -2562.13 	 2616.46 	 54.33 	 2.0189 	 0.362663
 11.5400 	 -2577.23 	 2630.80 	 53.57 	 2.0299 	 0.327701
 11.5500 	 -2588.98 	 2642.22 	 53.24 	 2.0388 	 0.271312
 11.5600 	 -2591.25 	 2645.70 	 54.46 	 2.0414 	 0.202739
 11.5700 	 -2606.95 	 2655.58 	 48.63 	 2.0491 	 0.127265
 11.5800 	 -2631.05 	 2678.07 	 47.02 	 2.0664 	 0.080406
 11.5900 	 -2641.59 	 2688.17 	 46.58 	 2.0742 	 0.033561
 11.6000 	 -2633.63 	 2694.31 	 60.68 	 2.0789 	 0.000851
