#Time 	 PotE 	 kT 	 vx 	 vy 	 vz
Time = 0.2650 	 PotE = -4387.30 	 kT = 2.0248 	 vx = 0.055112 	 vy = -0.054687 	 vz = 0.013376
Time = 0.2700 	 PotE = -4398.49 	 kT = 1.9847 	 vx = 0.048231 	 vy = -0.052467 	 vz = 0.008192
Time = 0.2750 	 PotE = -4401.51 	 kT = 1.9620 	 vx = -0.017509 	 vy = -0.085359 	 vz = 0.003447
Time = 0.2800 	 PotE = -4401.00 	 kT = 1.9849 	 vx = -0.016829 	 vy = -0.084264 	 vz = -0.020076
Time = 0.2850 	 PotE = -4395.52 	 kT = 1.9763 	 vx = -0.077114 	 vy = -0.062887 	 vz = 0.012093
Time = 0.2900 	 PotE = -4384.18 	 kT = 2.0290 	 vx = -0.018688 	 vy = -0.047265 	 vz = -0.014306
Time = 0.2950 	 PotE = -4376.43 	 kT = 2.0526 	 vx = 0.004959 	 vy = -0.002188 	 vz = 0.016688
Time = 0.3000 	 PotE = -4362.42 	 kT = 2.0709 	 vx = -0.054919 	 vy = 0.008834 	 vz = -0.067102
Time = 0.3050 	 PotE = -4337.94 	 kT = 2.0781 	 vx = -0.029923 	 vy = 0.010174 	 vz = -0.039393
Time = 0.3100 	 PotE = -4325.43 	 kT = 2.0955 	 vx = -0.023086 	 vy = 0.015651 	 vz = -0.043737
Time = 0.3150 	 PotE = -4308.30 	 kT = 2.0912 	 vx = -0.050570 	 vy = 0.051007 	 vz = -0.018498
Time = 0.3200 	 PotE = -4301.10 	 kT = 2.0634 	 vx = -0.081400 	 vy = -0.017144 	 vz = -0.029132
Time = 0.3250 	 PotE = -4295.77 	 kT = 1.9830 	 vx = -0.012995 	 vy = -0.007607 	 vz = -0.017471
Time = 0.3300 	 PotE = -4298.39 	 kT = 1.9622 	 vx = -0.013810 	 vy = 0.014818 	 vz = 0.027729
Time = 0.3350 	 PotE = -4299.14 	 kT = 1.9593 	 vx = -0.097132 	 vy = -0.004819 	 vz = -0.002279
Time = 0.3400 	 PotE = -4320.45 	 kT = 2.0101 	 vx = -0.032406 	 vy = 0.067182 	 vz = 0.002163
Time = 0.3450 	 PotE = -4331.86 	 kT = 2.1059 	 vx = -0.026319 	 vy = 0.108575 	 vz = 0.015484
Time = 0.3500 	 PotE = -4353.37 	 kT = 2.0285 	 vx = 0.071676 	 vy = 0.064428 	 vz = 0.038677
Time = 0.3550 	 PotE = -4364.40 	 kT = 2.0376 	 vx = 0.021041 	 vy = 0.047750 	 vz = 0.075108
Time = 0.3600 	 PotE = -4349.52 	 kT = 1.9336 	 vx = 0.024093 	 vy = 0.063072 	 vz = 0.051768
Time = 0.3650 	 PotE = -4328.31 	 kT = 1.9558 	 vx = 0.005722 	 vy = 0.044629 	 vz = 0.044052
Time = 0.3700 	 PotE = -4313.36 	 kT = 2.0042 	 vx = -0.013956 	 vy = 0.033105 	 vz = 0.024093
Time = 0.3750 	 PotE = -4301.59 	 kT = 1.9372 	 vx = 0.034930 	 vy = 0.069575 	 vz = 0.016745
Time = 0.3800 	 PotE = -4284.96 	 kT = 1.9778 	 vx = 0.008489 	 vy = 0.002062 	 vz = 0.025060
Time = 0.3850 	 PotE = -4266.49 	 kT = 1.9388 	 vx = 0.012459 	 vy = 0.017093 	 vz = -0.025478
Time = 0.3900 	 PotE = -4253.75 	 kT = 1.9794 	 vx = -0.031926 	 vy = -0.028456 	 vz = 0.011249
Time = 0.3950 	 PotE = -4247.20 	 kT = 1.9329 	 vx = -0.037504 	 vy = -0.016077 	 vz = 0.003013
Time = 0.4000 	 PotE = -4241.47 	 kT = 2.0030 	 vx = -0.010617 	 vy = 0.013673 	 vz = -0.004280
Time = 0.4050 	 PotE = -4241.06 	 kT = 1.9815 	 vx = 0.011063 	 vy = 0.048221 	 vz = 0.007997
Time = 0.4100 	 PotE = -4241.70 	 kT = 2.0105 	 vx = 0.010858 	 vy = 0.001775 	 vz = 0.019205
Time = 0.4150 	 PotE = -4239.33 	 kT = 1.9815 	 vx = -0.005267 	 vy = 0.036418 	 vz = 0.015475
Time = 0.4200 	 PotE = -4237.61 	 kT = 1.9645 	 vx = 0.047749 	 vy = 0.022287 	 vz = 0.025991
Time = 0.4250 	 PotE = -4232.24 	 kT = 1.9704 	 vx = 0.006298 	 vy = 0.002888 	 vz = -0.041881
Time = 0.4300 	 PotE = -4234.40 	 kT = 1.9963 	 vx = 0.010168 	 vy = 0.008559 	 vz = -0.042317
Time = 0.4350 	 PotE = -4245.01 	 kT = 1.9841 	 vx = -0.037329 	 vy = 0.067188 	 vz = 0.008824
Time = 0.4400 	 PotE = -4249.54 	 kT = 2.0445 	 vx = 0.040993 	 vy = 0.024513 	 vz = -0.030058
Time = 0.4450 	 PotE = -4249.15 	 kT = 2.1037 	 vx = 0.090522 	 vy = 0.050740 	 vz = -0.000946
Time = 0.4500 	 PotE = -4221.88 	 kT = 2.0856 	 vx = 0.005292 	 vy = -0.012858 	 vz = -0.046761
Time = 0.4550 	 PotE = -4205.56 	 kT = 2.0539 	 vx = 0.036482 	 vy = -0.035645 	 vz = -0.046011
Time = 0.4600 	 PotE = -4196.09 	 kT = 2.0181 	 vx = -0.052648 	 vy = 0.003466 	 vz = -0.024632
Time = 0.4650 	 PotE = -4205.55 	 kT = 1.9494 	 vx = -0.046643 	 vy = -0.003124 	 vz = -0.058431
Time = 0.4700 	 PotE = -4220.49 	 kT = 2.0431 	 vx = 0.002592 	 vy = -0.046464 	 vz = -0.048249
